,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
KIF21A,0.03571428571428571,0.41423948220064727,0.0038386212299255777,0.07692307692307693,0.13725490196078433,0.0012062726176115801,0.12962962962962962,0.16637323943661972,0.017241379310344827,0.0
BBC3,0.17857142857142858,0.2912621359223301,0.08938503721112417,0.07692307692307693,0.05042016806722689,0.08082026537997587,0.10493827160493827,0.0840669014084507,0.10344827586206896,0.03125
CNPY2,0.03571428571428571,0.2750809061488673,0.0800626713670192,0.0,0.058823529411764705,0.007237635705669481,0.2839506172839506,0.09859154929577464,0.06896551724137931,0.0625
ATP6V1C1,0.10714285714285714,0.3268608414239482,0.5045828437132786,0.07692307692307693,0.07282913165266107,0.255729794933655,0.29012345679012347,0.17781690140845072,0.3879310344827586,0.3125
NECTIN4,0.0,0.49514563106796117,0.007598903251077164,0.0,0.0,0.0,0.0,0.0017605633802816902,0.008620689655172414,0.0
BEX5,0.0,0.08414239482200647,0.0023501762632197414,0.0,0.03361344537815126,0.0,0.04938271604938271,0.02464788732394366,0.0,0.03125
SEC31B,0.0,0.038834951456310676,0.008303956130043087,0.0,0.008403361344537815,0.0036188178528347406,0.006172839506172839,0.05941901408450704,0.02586206896551724,0.0625
EYA2,0.0,0.18446601941747573,0.0003133568350959655,0.0,0.0,0.0,0.0,0.0008802816901408451,0.0,0.0
ZDHHC23,0.0,0.05501618122977346,0.0023501762632197414,0.0,0.011204481792717087,0.0036188178528347406,0.006172839506172839,0.003961267605633803,0.017241379310344827,0.0
BMP2K,0.17857142857142858,0.1779935275080906,0.14672933803368585,0.3076923076923077,0.022408963585434174,0.028950542822677925,0.09876543209876543,0.043133802816901406,0.12931034482758622,0.09375
TM9SF3,0.07142857142857142,0.4919093851132686,0.22882882882882882,0.07692307692307693,0.12324929971988796,0.04101326899879373,0.3333333333333333,0.21610915492957747,0.21551724137931033,0.4375
PPDPF,0.75,0.9546925566343042,0.8108108108108109,0.7692307692307693,0.7310924369747899,0.30639324487334135,0.8024691358024691,0.8380281690140845,0.8620689655172413,0.59375
RB1CC1,0.21428571428571427,0.5372168284789643,0.2018018018018018,0.07692307692307693,0.22408963585434175,0.06634499396863691,0.3271604938271605,0.25440140845070425,0.23275862068965517,0.375
ARHGAP39,0.0,0.1262135922330097,0.000626713670191931,0.0,0.0,0.0,0.0,0.0013204225352112676,0.008620689655172414,0.0
ZNF891,0.0,0.016181229773462782,0.0045436741088915,0.15384615384615385,0.008403361344537815,0.0012062726176115801,0.018518518518518517,0.016285211267605633,0.0,0.03125
BCL7B,0.17857142857142858,0.39805825242718446,0.25663924794359577,0.23076923076923078,0.19887955182072828,0.04221954161640531,0.3148148148148148,0.3050176056338028,0.22413793103448276,0.1875
RAD23A,0.32142857142857145,0.6763754045307443,0.573207990599295,0.3076923076923077,0.3137254901960784,0.11821471652593486,0.6790123456790124,0.47007042253521125,0.5086206896551724,0.59375
FOXK1,0.03571428571428571,0.1941747572815534,0.053270661966314144,0.0,0.05042016806722689,0.007237635705669481,0.10493827160493827,0.0664612676056338,0.034482758620689655,0.09375
GPR137B,0.14285714285714285,0.1779935275080906,0.3067763415589502,0.23076923076923078,0.10084033613445378,0.045838359469240045,0.13580246913580246,0.1637323943661972,0.6551724137931034,0.125
PTPN22,0.17857142857142858,0.012944983818770227,0.02381511946729338,0.0,0.3585434173669468,0.009650180940892641,0.1419753086419753,0.3204225352112676,0.10344827586206896,0.15625
GNB2,0.5357142857142857,0.8122977346278317,0.8137093615354485,0.15384615384615385,0.5070028011204482,0.3691194209891435,0.6666666666666666,0.636443661971831,0.8103448275862069,0.8125
AC012645.3,0.03571428571428571,0.003236245954692557,0.0035252643948296123,0.0,0.022408963585434174,0.0012062726176115801,0.04938271604938271,0.02772887323943662,0.0,0.0
SCRIB,0.0,0.23948220064724918,0.03352918135526831,0.0,0.01680672268907563,0.0036188178528347406,0.024691358024691357,0.0448943661971831,0.04310344827586207,0.03125
NKG7,0.10714285714285714,0.05501618122977346,0.15714845280062673,0.0,0.988795518207283,0.03498190591073583,0.09259259259259259,0.4779929577464789,0.2413793103448276,0.78125
GPATCH1,0.07142857142857142,0.038834951456310676,0.019741480611045827,0.0,0.028011204481792718,0.0024125452352231603,0.06172839506172839,0.04445422535211268,0.0,0.03125
L3MBTL1,0.0,0.05501618122977346,0.0029768899334116725,0.0,0.014005602240896359,0.0,0.024691358024691357,0.002640845070422535,0.0,0.03125
WTAP,0.2857142857142857,0.5016181229773463,0.4880532706619663,0.3076923076923077,0.2605042016806723,0.29674306393244876,0.4691358024691358,0.3996478873239437,0.5086206896551724,0.3125
SMARCA2,0.25,0.29449838187702265,0.12142577359968665,0.0,0.15406162464985995,0.024125452352231604,0.25925925925925924,0.28829225352112675,0.29310344827586204,0.3125
USP46-AS1,0.0,0.016181229773462782,0.006658832745789268,0.0,0.0028011204481792717,0.0,0.037037037037037035,0.006161971830985915,0.017241379310344827,0.0
